time,open,high,low,close,Volume,Volume MA,ATR
2026-01-30T11:10:00-08:00,25757.5,25764.25,25753,25758.25,3006,4447.45,21.594060678746626
2026-01-30T11:11:00-08:00,25758,25761.75,25744.75,25750.5,2869,4343.5,21.26591348740758
2026-01-30T11:12:00-08:00,25750.5,25763.5,25740.75,25744.75,2573,4219.55,21.371919666878465
2026-01-30T11:13:00-08:00,25744.5,25746.25,25726.5,25736.5,4261,4156.8,21.25606826210143
2026-01-30T11:14:00-08:00,25736.5,25750,25727,25744.25,3176,4113.1,21.38063481480847
2026-01-30T11:15:00-08:00,25743.25,25753.25,25739,25741.75,2610,3985.55,20.871303756607865
2026-01-30T11:16:00-08:00,25741.75,25745.25,25731.25,25737.75,2512,3886.1,20.38049634542159
2026-01-30T11:17:00-08:00,25738.25,25739,25724.25,25729,2812,3882.65,19.978318035034334
2026-01-30T11:18:00-08:00,25730,25749,25727.5,25730.5,2562,3761.75,20.087009603960457
2026-01-30T11:19:00-08:00,25730.75,25746.5,25726.25,25733.25,2439,3554.9,20.098651775106138
2026-01-30T11:20:00-08:00,25733,25755,25731.5,25748.25,3190,3454.25,20.341605219741414
2026-01-30T11:21:00-08:00,25748.5,25761.25,25745.25,25758.25,2302,3366.15,20.031490561188456
2026-01-30T11:22:00-08:00,25758.5,25759.5,25734,25737,4066,3270.5,20.422098378246424
2026-01-30T11:23:00-08:00,25736.75,25746.75,25734,25741.75,3049,3194.05,19.874091351228824
2026-01-30T11:24:00-08:00,25742.25,25752.25,25737.5,25744.25,2229,3124.05,19.50808482614105
2026-01-30T11:25:00-08:00,25744,25755.5,25741,25742.75,2227,3049,19.15036448141669
2026-01-30T11:26:00-08:00,25742.5,25760.5,25739.75,25757.25,2525,2926.55,19.264624161315503
2026-01-30T11:27:00-08:00,25757,25759.25,25742.5,25750.25,2273,2850,19.085008149792966
2026-01-30T11:28:00-08:00,25750,25760.75,25748.75,25759.75,2376,2807.25,18.578936139093464
2026-01-30T11:29:00-08:00,25759.75,25763,25714.75,25716.5,7370,3021.35,20.69829784344393
2026-01-30T11:30:00-08:00,25716.5,25735,25689.25,25690.5,10430,3392.55,22.487705140340797
2026-01-30T11:31:00-08:00,25690.25,25720.75,25674.25,25707.5,10124,3755.3,24.20286905888788
2026-01-30T11:32:00-08:00,25706.75,25721.25,25697.25,25715.75,6242,3938.75,24.18837841182446
2026-01-30T11:33:00-08:00,25716.5,25729.75,25704.75,25727.5,5551,4003.25,24.246351382408427
2026-01-30T11:34:00-08:00,25727.5,25738.25,25725.25,25726.75,4904,4089.65,23.443040569379257
2026-01-30T11:35:00-08:00,25726.5,25736.75,25709,25717.5,4822,4200.25,23.750680528709307
2026-01-30T11:36:00-08:00,25717.25,25727.5,25708.75,25710,3967,4273,23.39348906237293
2026-01-30T11:37:00-08:00,25710,25723.75,25709.25,25711.75,3428,4303.8,22.758239843632005
2026-01-30T11:38:00-08:00,25711.5,25722.5,25705.5,25711.25,3483,4349.85,22.346936997658293
2026-01-30T11:39:00-08:00,25712,25718,25706,25713.25,2481,4351.95,21.60787006925413
2026-01-30T11:40:00-08:00,25713.75,25720.5,25700.75,25704.5,3282,4356.55,21.475165064307408
2026-01-30T11:41:00-08:00,25704.25,25720,25701.75,25710.5,2932,4388.05,21.244796131142596
2026-01-30T11:42:00-08:00,25710.5,25724.5,25705,25714.25,3350,4352.25,21.120167836060983
2026-01-30T11:43:00-08:00,25714.25,25715.75,25700.5,25712.75,2993,4349.45,20.7008701334852
2026-01-30T11:44:00-08:00,25713.5,25715.5,25692.5,25693.5,3418,4408.9,20.865093695379112
2026-01-30T11:45:00-08:00,25693.25,25695,25678.5,25679.5,3923,4493.7,20.55330128856632
2026-01-30T11:46:00-08:00,25679.75,25697,25675.75,25684.25,3389,4536.9,20.603065482240158
2026-01-30T11:47:00-08:00,25684.25,25693,25675,25680,2863,4566.4,20.417132233508717
2026-01-30T11:48:00-08:00,25680.25,25687.25,25663.75,25667.25,3587,4626.95,20.637337073972382
2026-01-30T11:49:00-08:00,25666.75,25674.5,25662.25,25664.75,3602,4438.55,20.03824156868864
2026-01-30T11:50:00-08:00,25665.25,25682.5,25664,25680.5,3457,4089.9,19.928367170925164
2026-01-30T11:51:00-08:00,25679.5,25684.25,25673.25,25675,2446,3706,19.290626658716224
2026-01-30T11:52:00-08:00,25676.75,25695.75,25676.25,25690.25,3622,3575,19.394867611665063
2026-01-30T11:53:00-08:00,25690.5,25721.75,25686.75,25704.25,6113,3603.1,20.50951992511756
2026-01-30T11:54:00-08:00,25704.5,25711.5,25703,25709,2523,3484.05,19.651697073323447
2026-01-30T11:55:00-08:00,25709.5,25724.75,25706.5,25711.25,3633,3424.6,19.551575853800347
2026-01-30T11:56:00-08:00,25711.5,25716.25,25701,25710.75,2944,3373.45,19.24432043567175
2026-01-30T11:57:00-08:00,25710.5,25714.25,25684.25,25686.75,4067,3405.4,20.012583261695195
2026-01-30T11:58:00-08:00,25687,25694,25672.5,25673,3803,3421.4,20.118827314431254
2026-01-30T11:59:00-08:00,25673.5,25676,25652,25658.25,5562,3575.45,20.39605393482902
2026-01-30T12:00:00-08:00,25658.25,25671.5,25654,25668.5,4419,3632.3,20.18919293948409
2026-01-30T12:01:00-08:00,25668,25683,25662.25,25674.75,4083,3689.85,20.2292505866638
2026-01-30T12:02:00-08:00,25675,25678.5,25663,25667,3206,3682.65,19.89144697333067
2026-01-30T12:03:00-08:00,25667.5,25671.25,25655.5,25662.5,2981,3682.05,19.59562933237848
2026-01-30T12:04:00-08:00,25662.25,25665,25652.5,25657,2576,3639.95,19.08879866578002
2026-01-30T12:05:00-08:00,25657.25,25661.5,25644.5,25645.75,4114,3649.5,18.939598761081445
2026-01-30T12:06:00-08:00,25645.25,25648.75,25625.25,25625.5,3978,3678.95,19.265341706718484
2026-01-30T12:07:00-08:00,25625.75,25633,25617.5,25628,4391,3755.35,18.996388727667163
2026-01-30T12:08:00-08:00,25628,25645.5,25615.75,25637,4970,3824.5,19.764503818548082
2026-01-30T12:09:00-08:00,25637.25,25644.75,25632.75,25638.5,2260,3757.4,19.209896402937506
2026-01-30T12:10:00-08:00,25639.25,25644,25632,25638.25,2042,3686.65,18.694903802727683
2026-01-30T12:11:00-08:00,25638,25646.5,25631.5,25634,2674,3698.05,18.430982102532848
2026-01-30T12:12:00-08:00,25634,25640.25,25623,25627.25,2443,3639.1,18.346626238066214
2026-01-30T12:13:00-08:00,25627,25631.5,25622.25,25627,2034,3435.15,17.696867221061485
2026-01-30T12:14:00-08:00,25626.75,25631.25,25613.5,25616,2658,3441.9,17.700662419557094
2026-01-30T12:15:00-08:00,25615.5,25615.5,25597.25,25598.75,5505,3535.5,17.775615103874447
2026-01-30T12:16:00-08:00,25599,25614.25,25598.75,25609.5,4316,3604.1,17.613071167883415
2026-01-30T12:17:00-08:00,25609.75,25610,25596.5,25602.25,3011,3551.3,17.319280370177456
2026-01-30T12:18:00-08:00,25603,25614.25,25600.25,25603.5,3345,3528.4,17.08218891516478
2026-01-30T12:19:00-08:00,25603.25,25608.25,25595.5,25595.5,2538,3377.2,16.77274684979587
2026-01-30T12:20:00-08:00,25595.25,25599.75,25585,25590.25,4526,3382.55,16.628264931953307
2026-01-30T12:21:00-08:00,25590,25596.25,25577.5,25579.25,3711,3363.95,16.779817436813783
2026-01-30T12:22:00-08:00,25579.25,25583,25571.5,25579,4151,3411.2,16.40268761989851
2026-01-30T12:23:00-08:00,25579,25588,25572.75,25584.25,3761,3450.2,16.320352789905762
2026-01-30T12:24:00-08:00,25583.75,25595.75,25583.75,25591,3675,3505.15,16.011756162055352
2026-01-30T12:25:00-08:00,25591,25611,25590.5,25600,4832,3541.05,16.332345007622827
2026-01-30T12:26:00-08:00,25600.5,25611.5,25588,25588.75,4582,3571.25,16.844320364221197
2026-01-30T12:27:00-08:00,25588.75,25592.5,25582.25,25588,3553,3529.35,16.37329748106254
2026-01-30T12:28:00-08:00,25587.5,25589.5,25571,25582.75,4987,3530.2,16.52520480384379
2026-01-30T12:29:00-08:00,25582.5,25602,25580,25596,3896,3612,16.916261603569232
2026-01-30T12:30:00-08:00,25596,25624.5,25591,25619.25,6514,3835.6,18.10081434617143
2026-01-30T12:31:00-08:00,25618.75,25627.5,25610.5,25620.75,4275,3915.65,18.022184750016326
2026-01-30T12:32:00-08:00,25620.25,25630.75,25604.25,25611.25,4475,4017.25,18.62774298215802
2026-01-30T12:33:00-08:00,25611.5,25633,25608,25630.5,3494,4090.25,19.08290419771816
2026-01-30T12:34:00-08:00,25630.75,25637.75,25620.75,25622.5,3856,4150.15,18.934125326452577
2026-01-30T12:35:00-08:00,25622.75,25645,25621,25641.25,4729,4111.35,19.295973517420254
2026-01-30T12:36:00-08:00,25641.5,25647.5,25633.75,25635.75,3715,4081.3,18.899832551890235
2026-01-30T12:37:00-08:00,25636,25643,25598.75,25600.75,6226,4242.05,20.71055879818379
2026-01-30T12:38:00-08:00,25600.75,25616.5,25600,25616,3956,4272.6,20.409804598313517
2026-01-30T12:39:00-08:00,25616,25627.75,25613,25620.5,3108,4301.1,20.00553284129112
2026-01-30T12:40:00-08:00,25620,25624,25612.5,25616.75,3117,4230.65,19.397994781198896
