relative_ib_vol_pdv,normalized_distance,true_label,predicted_label,session_date
0.4599683516717927,2.740681576144835,1.0,0.0,2025-01-27
0.194896557498031,0.14556962025316456,0.0,1.0,2025-02-10
0.2249487323870191,0.1298607777244359,0.0,1.0,2025-03-10
0.2565395957742263,1.0021739130434784,0.0,1.0,2025-04-04
0.2669825203332869,0.039989264626945784,0.0,1.0,2025-04-22
0.2360655810970554,0.13356164383561644,0.0,1.0,2025-04-29
0.2323960823881324,0.10195172059578839,0.0,1.0,2025-05-22
0.2502521324278381,0.054941257774706286,0.0,1.0,2025-06-02
0.334156523017498,0.04868624420401855,1.0,0.0,2025-06-05
0.1860971202611754,0.556064880112835,0.0,1.0,2025-06-24
0.293013957840372,0.08278145695364239,0.0,1.0,2025-07-11
0.3153538678579826,0.06103286384976526,0.0,1.0,2025-09-23
0.2507623085106283,0.13177874186550975,0.0,1.0,2025-09-24
0.2673943367745761,0.1738562091503268,0.0,1.0,2025-10-01
0.2570677523565075,0.6257383966244726,1.0,0.0,2025-10-24
0.2951549842275965,0.14996725605762934,0.0,1.0,2025-03-13
0.2820480415253704,0.13042418332520722,0.0,1.0,2025-04-01
0.2327827254846731,0.13618771165940977,0.0,1.0,2025-04-15
0.2943575779263152,1.0100446428571428,0.0,1.0,2025-05-23
0.2912462571675329,0.1687170474516696,1.0,0.0,2025-06-10
0.4182269871481198,0.049062049062049064,1.0,0.0,2025-06-23
0.2406080839032564,0.07792207792207792,0.0,1.0,2025-07-01
0.2168518240845499,0.028855250709555344,0.0,1.0,2025-07-17
0.2902079919275039,0.15335235378031384,0.0,1.0,2025-10-03
0.3781889003690371,0.1571279916753382,1.0,0.0,2025-10-21
0.2512736483742737,1.8633093525179856,0.0,1.0,2025-10-27
0.2282462648946392,0.03139356814701378,0.0,1.0,2025-10-31
0.2748219883286832,0.0411413404114134,0.0,1.0,2025-11-05
0.2696550921919817,0.37384615384615383,1.0,0.0,2025-11-07
0.2541814987619942,0.19902439024390245,0.0,1.0,2025-12-03
0.2208766631280883,0.0711716341212744,0.0,1.0,2025-03-12
0.2592991947170462,0.1462696335078534,0.0,1.0,2025-04-02
0.1725295713327613,0.19644468507489624,1.0,0.0,2025-04-09
0.2507853986084418,0.994716618635927,1.0,0.0,2025-04-16
0.2416728316250432,0.12525389302640488,0.0,1.0,2025-05-02
0.232787062821861,0.07965299684542587,0.0,1.0,2025-06-09
0.2701012835042711,0.20453134698944755,1.0,0.0,2025-06-17
0.2917514941362885,0.06484375,0.0,1.0,2025-06-26
0.1950142006750775,0.012935323383084577,0.0,1.0,2025-07-02
0.3208908157310093,0.024024024024024024,0.0,1.0,2025-07-31
0.2881778394402037,0.11191335740072202,0.0,1.0,2025-09-04
0.2788368314798459,0.06025492468134415,0.0,1.0,2025-09-11
0.2837087699340044,0.06115107913669065,0.0,1.0,2025-09-12
0.2636126579530258,0.13333333333333333,0.0,1.0,2025-09-22
0.3204556944860023,0.1822633297062024,1.0,0.0,2025-10-28
0.3305210792842053,1.1966403162055337,1.0,0.0,2025-11-04
0.2552185312687406,0.0737597911227154,0.0,1.0,2025-01-23
0.2713721104766525,0.08560311284046693,0.0,1.0,2025-01-28
0.2855923548887374,0.09504132231404959,0.0,1.0,2025-01-30
0.2769500944117774,0.07196969696969698,0.0,1.0,2025-02-19
0.2689492618781789,0.004016064257028112,0.0,1.0,2025-03-20
0.2711149548794018,0.08333333333333333,0.0,1.0,2025-05-13
0.3200824465863088,0.03311036789297659,1.0,0.0,2025-05-14
0.2795781235669958,0.12232142857142857,0.0,1.0,2025-07-21
0.19042136942836,0.11594792514239219,0.0,1.0,2025-08-04
0.1998331691369163,0.036996336996337,0.0,1.0,2025-08-08
0.2606703708190741,0.029371584699453553,0.0,1.0,2025-08-14
0.3381095099762682,1.1557223264540337,1.0,0.0,2025-09-02
0.1962605759081388,0.1224344645397277,0.0,1.0,2025-10-13
0.1745660418720561,0.3023560209424084,0.0,1.0,2025-10-20
0.2057203800659298,0.164945792462571,0.0,1.0,2025-10-23
0.2939013046878215,0.15431560592850915,1.0,0.0,2025-12-02
0.2493667435180354,0.07954545454545454,0.0,1.0,2025-12-09
0.2802052430447047,0.1676313446126447,0.0,1.0,2025-12-18
0.2026502399107083,0.09038461538461538,0.0,1.0,2025-12-24
0.1930659181585246,0.08503767491926803,0.0,1.0,2025-02-04
0.2322366945570603,0.08201701093560146,0.0,1.0,2025-03-14
0.2199712267852472,0.005668934240362812,0.0,1.0,2025-03-18
0.2031067475670171,0.08655830753353973,0.0,1.0,2025-04-03
0.2152175596397707,0.014334862385321102,0.0,1.0,2025-04-24
0.2408418444028242,0.17264416315049227,0.0,1.0,2025-04-28
0.2582125904491255,0.015533980582524271,0.0,1.0,2025-05-05
0.2086117624674297,0.006329113924050633,0.0,1.0,2025-06-12
0.322763573878227,0.5580495356037152,1.0,0.0,2025-06-13
0.2723355434031257,0.011861313868613138,0.0,1.0,2025-07-24
0.3361551308693601,0.23759791122715404,1.0,0.0,2025-09-10
0.1590437203912248,0.12347826086956522,0.0,1.0,2025-09-16
0.3203082732502291,0.028277634961439587,1.0,0.0,2025-09-30
0.2302748674174257,0.0816235504014273,0.0,1.0,2025-10-08
0.2548206333761834,0.0028735632183908046,0.0,1.0,2025-10-10
0.2244767731459463,0.066158781074579,0.0,1.0,2025-11-03
0.1693347988017209,0.6588065447545717,1.0,0.0,2025-11-10
0.2560968659267578,0.08895131086142322,0.0,1.0,2025-11-17
0.3248647812351688,0.031085604973696796,1.0,0.0,2025-11-18
0.2075684810443089,0.43515625,1.0,0.0,2025-11-20
0.2424263624856664,0.03193873739260366,0.0,1.0,2025-11-24
0.2566647024600753,0.17681498829039813,0.0,1.0,2025-11-26
0.2514986398608499,0.024878048780487806,0.0,1.0,2025-12-19
