session_date,rth_start,rth_end,ib_high,ib_low,ib_range,midpoint,ib_volume,total_volume,relative_ib_volume,rth_high,rth_low,rth_close,rotation,failed_auction,breakside,breakside_rotation_up,breakside_rotation_down,breakside_retracement_points,breakside_retracement_normib,opening_window_minutes,opening_range_high,opening_range_low,opening_range,opening_range_close,opening_direction,opening_type,opening_bar_open,opening_bar_close,opening_bar_open_close,opening_bar_volume
2023-01-26,06:30,13:00,12075.0,11947.0,128.0,12011.0,275988.0,839157.0,0.3288872046589613,12111.5,11904.0,12104.75,True,failed_low,low,,12111.5,164.5,1.28515625,10,12075.0,12016.25,58.75,12053.0,up,auction,12017.75,12037.75,20.0,7706.0
2023-01-27,06:30,13:00,12192.5,12041.75,150.75,12117.125,254386.0,906946.0,0.2804863795639432,12308.0,12041.75,12223.0,False,none,high,,,8.0,0.05306799336650083,10,12100.75,12041.75,59.0,12089.25,up,auction,12047.0,12066.25,19.25,5914.0
2023-01-30,06:30,13:00,12143.5,12027.5,116.0,12085.5,258036.0,859158.0,0.3003359102749436,12143.5,11960.0,11969.75,False,none,low,,,44.0,0.3793103448275862,10,12110.5,12059.25,51.25,12093.75,up,auction,12082.75,12104.0,21.25,10881.0
2023-01-31,06:30,13:00,12061.25,11969.25,92.0,12015.25,266481.0,724617.0,0.3677542757070287,12156.0,11969.25,12151.25,False,none,high,,,19.0,0.20652173913043478,10,12031.5,11969.25,62.25,12006.0,up,auction,11974.25,11994.25,20.0,7337.0
2023-02-01,06:30,13:00,12157.75,12101.5,56.25,12129.625,173058.0,854734.0,0.2024700082130815,12516.0,12055.0,12419.5,True,failed_low,low,,12516.0,414.5,7.368888888888889,10,12156.0,12101.5,54.5,12124.75,down,auction,12143.75,12148.0,4.25,5457.0
2023-02-02,06:30,13:00,12747.5,12647.5,100.0,12697.5,269028.0,1007340.0,0.2670677229138126,12934.75,12647.5,12851.25,False,none,high,,,56.0,0.56,10,12729.0,12671.0,58.0,12707.25,up,auction,12681.75,12720.0,38.25,10479.0
2023-02-03,06:30,13:00,12832.5,12558.25,274.25,12695.375,372760.0,1065471.0,0.3498546652137881,12877.75,12558.25,12623.75,False,failed_high,high,12578.75,,253.75,0.9252506836827712,10,12668.5,12558.25,110.25,12668.0,up,auction,12574.5,12590.0,15.5,9303.0
2023-02-06,06:30,13:00,12592.25,12473.75,118.5,12533.0,256095.0,758854.0,0.3374759835225221,12608.75,12456.5,12513.25,True,failed_both,low,12468.0,12608.75,135.0,1.139240506329114,10,12565.25,12502.0,63.25,12531.75,up,auction,12509.0,12522.0,13.0,7245.0
2023-02-07,06:30,13:00,12553.75,12477.0,76.75,12515.375,225994.0,1029390.0,0.21954167030960084,12818.75,12459.25,12772.25,True,failed_low,high,,12818.75,94.5,1.231270358306189,10,12527.5,12488.5,39.0,12522.5,up,auction,12504.0,12510.25,6.25,6030.0
2023-02-08,06:30,13:00,12752.25,12655.5,96.75,12703.875,232491.0,803197.0,0.28945700743404174,12752.25,12512.5,12543.25,False,none,low,,,14.75,0.1524547803617571,10,12734.25,12683.75,50.5,12731.5,up,auction,12713.75,12721.25,7.5,5791.0
